,name,latitude,longitude,hours,description
0,Kobrick Coffee Co,40.740378,-74.005485,"Mon-Fri 12:00 AM-2:00 AM, 7:00 AM-11:59 PM; Sat-Sun 12:00 AM-2:00 AM, 8:00 AM-11:59 PM","{'payment': {'credit_cards': {'accepts_credit_cards': True, 'amex': True, 'discover': True, 'visa': True, 'master_card': True}}, 'food_and_drink': {'alcohol': {'beer': True, 'cocktails': True, 'full_bar': True, 'wine': True}, 'meals': {'breakfast': True, 'brunch': True, 'lunch': True, 'happy_hour': True, 'dessert': True, 'dinner': True}}, 'services': {'delivery': True}, 'amenities': {'music': True, 'live_music': False, 'outdoor_seating': False, 'wifi': 't'}, 'attributes': {'business_meeting': 'Great', 'crowded': 'Average', 'dates_popular': 'Great', 'late_night': 'Great', 'quick_bite': 'Average', 'trendy': 'Great', 'vegetarian_diet': 'Great'}}"
1,La Lanterna di Vittorio,40.730705,-74.000125,Mon-Fri 12:00 AM-2:00 AM; Sat-Sun 12:00 AM-3:00 AM,"{'payment': {'credit_cards': {'accepts_credit_cards': True, 'amex': True}}, 'food_and_drink': {'alcohol': {'cocktails': True, 'full_bar': True, 'wine': True}, 'meals': {'brunch': True, 'happy_hour': True, 'dessert': True, 'dinner': True}}, 'services': {'delivery': True, 'dine_in': {'reservations': True}}, 'amenities': {'restroom': True, 'smoking': False, 'music': True, 'live_music': True, 'private_room': False, 'outdoor_seating': True, 'tvs': False, 'atm': False, 'wheelchair_accessible': False, 'parking': {'parking': True, 'street_parking': True}, 'wifi': 'n'}, 'attributes': {'clean': 'Great', 'dates_popular': 'Great', 'dressy': 'Poor', 'families_popular': 'Average', 'gluten_free_diet': 'Average', 'groups_popular': 'Average', 'late_night': 'Great', 'noisy': 'Average', 'quick_bite': 'Great', 'romantic': 'Great', 'service_quality': 'Great', 'special_occasion': 'Great', 'value_for_money': 'Average', 'vegetarian_diet': 'Great'}}"
2,Hi-Collar,40.729199,-73.986051,"Mon-Fri 12:00 AM-12:30 AM, 11:00 AM-5:00 PM, 6:00 PM-11:59 PM; Sat-Sun 12:00 AM-11:59 PM","{'payment': {'credit_cards': {'accepts_credit_cards': True, 'visa': True, 'master_card': True}}, 'food_and_drink': {'alcohol': {'cocktails': True, 'full_bar': False, 'wine': True}, 'meals': {'brunch': True, 'lunch': True, 'happy_hour': False, 'dessert': True, 'dinner': True}}, 'services': {'delivery': True, 'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'restroom': True, 'smoking': False, 'live_music': False, 'private_room': False, 'outdoor_seating': False, 'tvs': False, 'coat_check': False, 'wheelchair_accessible': False, 'parking': {'parking': True, 'street_parking': True}, 'wifi': 'n'}, 'attributes': {'business_meeting': 'Poor', 'clean': 'Great', 'crowded': 'Average', 'dates_popular': 'Great', 'dressy': 'Poor', 'families_popular': 'Poor', 'good_for_dogs': 'Poor', 'groups_popular': 'Poor', 'late_night': 'Great', 'noisy': 'Average', 'quick_bite': 'Great', 'service_quality': 'Great', 'trendy': 'Great', 'value_for_money': 'Great', 'vegetarian_diet': 'Great'}}"
3,The Roost,40.729131,-73.978583,"Mon 12:00 AM-1:30 AM, 7:00 AM-11:59 PM; Tue-Fri 12:00 AM-2:00 AM, 7:00 AM-11:59 PM; Sat-Sun 12:00 AM-3:30 AM, 7:00 AM-11:59 PM","{'payment': {'credit_cards': {'accepts_credit_cards': True, 'amex': True, 'discover': True, 'visa': True, 'master_card': True}}, 'food_and_drink': {'alcohol': {'beer': True, 'cocktails': True, 'full_bar': True, 'wine': True}, 'meals': {'breakfast': True, 'brunch': False, 'lunch': True, 'happy_hour': True, 'dinner': True}}, 'services': {'delivery': True, 'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'restroom': True, 'smoking': False, 'music': True, 'live_music': False, 'private_room': False, 'outdoor_seating': False, 'tvs': True, 'atm': False, 'coat_check': False, 'wifi': 'f'}, 'attributes': {'clean': 'Great', 'crowded': 'Average', 'dates_popular': 'Great', 'dressy': 'Poor', 'gluten_free_diet': 'Average', 'groups_popular': 'Great', 'late_night': 'Great', 'noisy': 'Average', 'quick_bite': 'Great', 'service_quality': 'Great', 'singles_popular': 'Great', 'special_occasion': 'Great', 'trendy': 'Average', 'value_for_money': 'Great', 'vegan_diet': 'Average', 'vegetarian_diet': 'Great'}}"
4,Bread & Butter,40.743639,-73.972686,Open Daily 12:00 AM-11:59 PM,{'services': {'delivery': True}}
5,Little Canal,40.714301,-73.990443,"Mon 12:00 AM-1:00 AM, 7:00 AM-4:00 PM; Tue-Thu 7:00 AM-11:59 PM; Fri 12:00 AM-1:00 AM, 7:00 AM-11:59 PM; Sat-Sun 12:00 AM-1:00 AM, 7:30 AM-11:59 PM","{'payment': {'credit_cards': {'accepts_credit_cards': True}}, 'food_and_drink': {'alcohol': {'beer': True, 'cocktails': False, 'full_bar': False, 'wine': True}, 'meals': {'breakfast': True, 'brunch': True}}, 'services': {'delivery': True}, 'amenities': {'live_music': False, 'outdoor_seating': False, 'wifi': 'n'}, 'attributes': {'dates_popular': 'Great', 'good_for_dogs': 'Average', 'trendy': 'Average', 'vegetarian_diet': 'Great'}}"
6,Dudley's,40.717967,-73.990499,"Mon-Wed 12:00 AM-2:00 AM, 9:00 AM-11:59 PM; Thu-Fri 12:00 AM-3:00 AM, 9:00 AM-11:59 PM; Sat-Sun 12:00 AM-4:00 AM, 9:00 AM-11:59 PM","{'payment': {'credit_cards': {'accepts_credit_cards': True}}, 'food_and_drink': {'alcohol': {'beer': True, 'cocktails': True, 'full_bar': True, 'wine': True}, 'meals': {'brunch': False, 'lunch': True, 'happy_hour': True, 'dinner': True}}, 'services': {'delivery': False, 'dine_in': {'reservations': True}}, 'amenities': {'restroom': True, 'live_music': False, 'outdoor_seating': True, 'wifi': 'n'}, 'attributes': {'business_meeting': 'Poor', 'clean': 'Great', 'crowded': 'Great', 'dates_popular': 'Great', 'dressy': 'Poor', 'families_popular': 'Poor', 'groups_popular': 'Average', 'late_night': 'Great', 'noisy': 'Average', 'quick_bite': 'Great', 'romantic': 'Average', 'service_quality': 'Great', 'special_occasion': 'Great', 'trendy': 'Great', 'value_for_money': 'Great', 'vegetarian_diet': 'Great'}}"
8,Olive Tree Cafe,40.730207,-74.000586,Open Daily 12:00 AM-4:00 AM,"{'payment': {'credit_cards': {'accepts_credit_cards': True}}, 'food_and_drink': {'alcohol': {'beer': True, 'cocktails': True, 'full_bar': True}, 'meals': {'brunch': True, 'happy_hour': True, 'dinner': True}}, 'services': {'delivery': False, 'dine_in': {'reservations': True, 'online_reservations': True, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'live_music': False, 'outdoor_seating': False, 'wifi': 't'}, 'attributes': {'business_meeting': 'Poor', 'clean': 'Great', 'crowded': 'Average', 'dates_popular': 'Great', 'dressy': 'Average', 'groups_popular': 'Great', 'noisy': 'Average', 'quick_bite': 'Great', 'service_quality': 'Great', 'trendy': 'Great', 'value_for_money': 'Great'}}"
9,Café Standard,40.727776,-73.990798,"Mon 12:00 AM-2:00 AM, 7:00 AM-11:59 PM; Tue-Thu 12:00 AM-3:00 AM, 7:00 AM-11:59 PM; Fri 12:00 AM-3:00 AM, 7:00 AM-4:00 PM; Sat 7:00 AM-4:00 PM; Sun 7:00 AM-11:59 PM","{'payment': {'credit_cards': {'accepts_credit_cards': True}}, 'food_and_drink': {'alcohol': {'beer': True, 'cocktails': True, 'full_bar': True, 'wine': True}, 'meals': {'breakfast': True, 'brunch': True, 'lunch': True, 'happy_hour': True, 'dinner': True}}, 'services': {'delivery': False, 'dine_in': {'reservations': True}}, 'amenities': {'live_music': False, 'outdoor_seating': True, 'wifi': 't'}, 'attributes': {'clean': 'Great', 'dates_popular': 'Great', 'dressy': 'Poor', 'good_for_dogs': 'Average', 'groups_popular': 'Average', 'noisy': 'Average', 'romantic': 'Average', 'service_quality': 'Great', 'singles_popular': 'Great', 'special_occasion': 'Poor', 'trendy': 'Great', 'value_for_money': 'Average'}}"
10,Banc Cafe,40.743293,-73.979529,Open Daily 12:00 AM-3:59 AM,"{'payment': {'credit_cards': {'accepts_credit_cards': True, 'amex': True, 'discover': True, 'visa': True, 'master_card': True}}, 'food_and_drink': {'alcohol': {'bar_service': True, 'beer': True, 'byo': True, 'cocktails': True, 'full_bar': True, 'wine': True}, 'meals': {'bar_snacks': True, 'breakfast': False, 'brunch': True, 'lunch': True, 'happy_hour': True, 'dessert': True, 'dinner': True, 'tasting_menu': False}}, 'services': {'delivery': True, 'takeout': True, 'drive_through': False, 'dine_in': {'reservations': True, 'online_reservations': True, 'groups_only_reservations': False}}, 'amenities': {'restroom': True, 'smoking': True, 'jukebox': False, 'music': True, 'live_music': False, 'private_room': True, 'outdoor_seating': True, 'tvs': False, 'coat_check': False, 'wheelchair_accessible': True, 'parking': {'parking': True, 'street_parking': True, 'valet_parking': False, 'public_lot': False, 'private_lot': False}, 'sit_down_dining': True, 'wifi': 'n'}, 'attributes': {'clean': 'Great', 'crowded': 'Average', 'dates_popular': 'Great', 'dressy': 'Average', 'gluten_free_diet': 'Average', 'groups_popular': 'Great', 'late_night': 'Great', 'noisy': 'Average', 'service_quality': 'Great', 'special_occasion': 'Great', 'trendy': 'Average', 'value_for_money': 'Great'}}"
11,Caffe Reggio,40.730265,-74.000457,"Mon-Fri 12:00 AM-3:00 AM, 8:00 AM-11:59 PM; Sat-Sun 12:00 AM-4:30 AM, 8:00 AM-11:59 PM","{'payment': {'credit_cards': {'accepts_credit_cards': False, 'amex': False, 'discover': False, 'visa': False, 'diners_club': False, 'master_card': False, 'union_pay': False}, 'digital_wallet': {'accepts_nfc': False}}, 'food_and_drink': {'alcohol': {'cocktails': True, 'full_bar': True, 'wine': True}, 'meals': {'brunch': True, 'lunch': True, 'happy_hour': False, 'dinner': True}}, 'services': {'delivery': True, 'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'live_music': False, 'outdoor_seating': True, 'wifi': 't'}, 'attributes': {'clean': 'Average', 'crowded': 'Great', 'dates_popular': 'Great', 'dressy': 'Poor', 'families_popular': 'Average', 'good_for_dogs': 'Poor', 'groups_popular': 'Poor', 'late_night': 'Great', 'noisy': 'Average', 'quick_bite': 'Great', 'service_quality': 'Average', 'trendy': 'Great'}}"
12,Peter McManus Cafe,40.741834,-73.997551,Open Daily 12:00 AM-4:00 AM,"{'payment': {'credit_cards': {'accepts_credit_cards': True, 'amex': True, 'discover': True, 'visa': True, 'master_card': True}}, 'food_and_drink': {'alcohol': {'beer': True, 'cocktails': True, 'full_bar': True}, 'meals': {'brunch': False, 'happy_hour': False}}, 'services': {'delivery': False, 'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'live_music': False, 'outdoor_seating': False, 'wifi': 'n'}, 'attributes': {'clean': 'Great', 'crowded': 'Average', 'dates_popular': 'Poor', 'dressy': 'Poor', 'gluten_free_diet': 'Average', 'groups_popular': 'Great', 'noisy': 'Average', 'service_quality': 'Great', 'singles_popular': 'Average', 'special_occasion': 'Poor', 'trendy': 'Poor', 'value_for_money': 'Great'}}"
13,Cafe 53,40.761787,-73.980033,Open Daily 12:00 AM-11:59 PM,"{'food_and_drink': {'alcohol': {'full_bar': False}, 'meals': {'breakfast': True, 'brunch': True, 'lunch': True, 'happy_hour': False}}, 'services': {'delivery': True, 'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'live_music': False, 'outdoor_seating': False, 'wifi': 'n'}}"
14,Bar Veloce,40.730696,-73.986546,Open Daily 12:00 AM-3:00 AM,"{'payment': {'credit_cards': {'accepts_credit_cards': True, 'amex': True, 'master_card': True}}, 'food_and_drink': {'alcohol': {'cocktails': True, 'full_bar': True, 'wine': True}, 'meals': {'happy_hour': True}}, 'services': {'dine_in': {'reservations': True}}, 'amenities': {'live_music': False, 'outdoor_seating': False, 'wifi': 'n'}, 'attributes': {'clean': 'Great', 'dates_popular': 'Great', 'dressy': 'Average', 'groups_popular': 'Great', 'late_night': 'Great', 'noisy': 'Average', 'quick_bite': 'Poor', 'romantic': 'Great', 'service_quality': 'Great', 'singles_popular': 'Average', 'special_occasion': 'Great', 'trendy': 'Average', 'value_for_money': 'Great'}}"
15,Shade,40.729864,-73.999306,Open Daily 12:00 AM-4:00 AM,"{'payment': {'credit_cards': {'accepts_credit_cards': True}}, 'food_and_drink': {'alcohol': {'beer': True, 'cocktails': True, 'full_bar': True, 'wine': True}, 'meals': {'brunch': False, 'happy_hour': True}}, 'services': {'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'live_music': False, 'outdoor_seating': False}, 'attributes': {'dates_popular': 'Great', 'groups_popular': 'Average', 'service_quality': 'Great', 'value_for_money': 'Great'}}"
16,Split Eights,40.705833,-74.010315,"Open Daily 12:00 AM-2:00 AM, 8:00 AM-3:00 PM, 4:00 PM-12:00 AM",{'food_and_drink': {'alcohol': {'cocktails': True}}}
18,Toast,40.750653,-73.986717,Open Daily 12:00 AM-11:59 PM,"{'food_and_drink': {'meals': {'breakfast': True, 'lunch': True}}}"
19,Washington Square Diner,40.731445,-74.000678,Open Daily 12:00 AM-11:59 PM,"{'payment': {'credit_cards': {'accepts_credit_cards': True}}, 'food_and_drink': {'alcohol': {'cocktails': True, 'full_bar': True}, 'meals': {'breakfast': True, 'brunch': True, 'lunch': True, 'happy_hour': False, 'dinner': True}}, 'services': {'delivery': True, 'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'live_music': False, 'outdoor_seating': False, 'wifi': 'n'}, 'attributes': {'business_meeting': 'Poor', 'clean': 'Average', 'good_for_dogs': 'Average', 'groups_popular': 'Great', 'late_night': 'Great', 'noisy': 'Average', 'quick_bite': 'Great', 'service_quality': 'Average', 'value_for_money': 'Great'}}"
20,The Flame Diner,40.768546,-73.98554,Open Daily 12:00 AM-11:59 PM,"{'payment': {'credit_cards': {'accepts_credit_cards': True, 'amex': True, 'discover': True, 'visa': True, 'master_card': True}}, 'food_and_drink': {'alcohol': {'bar_service': True, 'cocktails': True, 'full_bar': False}, 'meals': {'breakfast': True, 'brunch': True, 'lunch': True, 'happy_hour': False, 'dinner': True}}, 'services': {'delivery': True, 'takeout': True, 'drive_through': False, 'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'restroom': True, 'smoking': False, 'jukebox': False, 'music': False, 'live_music': False, 'private_room': False, 'outdoor_seating': False, 'tvs': False, 'atm': False, 'coat_check': False, 'wheelchair_accessible': False, 'parking': {'parking': True, 'street_parking': True, 'valet_parking': False, 'public_lot': False, 'private_lot': False}, 'sit_down_dining': True, 'wifi': 'n'}, 'attributes': {'clean': 'Great', 'families_popular': 'Great', 'good_for_dogs': 'Poor', 'groups_popular': 'Average', 'late_night': 'Great', 'noisy': 'Average', 'quick_bite': 'Great', 'service_quality': 'Great', 'value_for_money': 'Great'}}"
21,ABC Cafeteria,40.772844,-73.980246,Open Daily 12:00 AM-11:59 PM,"{'payment': {'credit_cards': {'accepts_credit_cards': True}}, 'food_and_drink': {'meals': {'lunch': True}}, 'services': {'delivery': False, 'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'outdoor_seating': False}}"
22,Cafe Tabaco & Ron,40.869169,-73.915971,Open Daily 12:00 AM-2:00 AM,"{'payment': {'credit_cards': {'accepts_credit_cards': True, 'amex': True}}, 'food_and_drink': {'meals': {'happy_hour': True}}, 'services': {'delivery': True}, 'amenities': {'outdoor_seating': True}, 'attributes': {'service_quality': 'Great', 'value_for_money': 'Great'}}"
23,Amore Pizza Cafe,40.768344,-73.985008,Mon-Fri 12:00 AM-2:00 AM; Sat-Sun 12:00 AM-4:00 AM,"{'food_and_drink': {'meals': {'dinner': True}}, 'services': {'delivery': True}}"
24,Cafe Abbondanza,40.758061,-73.984125,Open Daily 12:00 AM-11:59 PM,"{'payment': {'credit_cards': {'accepts_credit_cards': True, 'amex': True, 'discover': True, 'visa': False, 'master_card': True}}}"
26,Europan Cafe,40.757598,-73.989261,Open Daily 12:00 AM-11:59 PM,"{'payment': {'credit_cards': {'accepts_credit_cards': True, 'amex': True}}, 'food_and_drink': {'meals': {'breakfast': True, 'brunch': True, 'lunch': True, 'happy_hour': False}}, 'services': {'delivery': True, 'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'live_music': False, 'outdoor_seating': False}, 'attributes': {'business_meeting': 'Poor', 'families_popular': 'Great', 'groups_popular': 'Average', 'quick_bite': 'Great', 'trendy': 'Great', 'value_for_money': 'Average'}}"
27,Monkey Room,40.854831,-73.937185,Open Daily 12:00 AM-4:00 AM,"{'payment': {'credit_cards': {'accepts_credit_cards': True, 'amex': True, 'discover': True, 'visa': True, 'master_card': True}}, 'food_and_drink': {'alcohol': {'beer': True, 'cocktails': True, 'full_bar': True}, 'meals': {'happy_hour': True}}, 'services': {'delivery': True, 'dine_in': {'reservations': True}}, 'amenities': {'music': True, 'live_music': True, 'outdoor_seating': True, 'wifi': 't'}, 'attributes': {'special_occasion': 'Great', 'value_for_money': 'Average'}}"
28,Aziza Cafe & Lounge,40.724455,-73.987917,Mon-Fri 12:00 AM-3:00 AM; Sat-Sun 12:00 AM-4:30 AM,"{'payment': {'credit_cards': {'accepts_credit_cards': True, 'amex': True, 'discover': True, 'visa': True, 'master_card': True}}, 'food_and_drink': {'meals': {'brunch': False, 'happy_hour': False}}, 'services': {'delivery': False, 'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'live_music': False, 'outdoor_seating': False, 'wifi': 'n'}, 'attributes': {'crowded': 'Average', 'dressy': 'Poor', 'value_for_money': 'Great'}}"
29,Sunac Natural Foods,40.738676,-73.992667,Open Daily 12:00 AM-11:59 PM,"{'payment': {'credit_cards': {'accepts_credit_cards': True}}, 'food_and_drink': {'alcohol': {'full_bar': False}, 'meals': {'breakfast': True, 'brunch': True, 'lunch': True, 'happy_hour': False}}, 'services': {'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'live_music': False, 'outdoor_seating': False}, 'attributes': {'business_meeting': 'Poor', 'quick_bite': 'Great', 'value_for_money': 'Average'}}"
30,94 Corner Cafe,40.793131,-73.972558,"Mon 12:00 AM-2:00 AM, 5:30 AM-11:59 PM; Tue-Sun 12:00 AM-3:00 AM, 5:30 AM-11:59 PM","{'payment': {'credit_cards': {'accepts_credit_cards': True, 'amex': True}}, 'food_and_drink': {'meals': {'breakfast': True, 'brunch': True, 'lunch': True, 'dinner': True}}, 'services': {'delivery': True, 'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'outdoor_seating': True, 'wifi': 'n'}, 'attributes': {'dressy': 'Average', 'groups_popular': 'Great', 'noisy': 'Average', 'quick_bite': 'Great', 'service_quality': 'Great', 'value_for_money': 'Great'}}"
31,Park Cafe,40.764253,-73.980653,"Open Daily 12:00 AM-1:00 AM, 5:30 AM-11:59 PM","{'payment': {'credit_cards': {'accepts_credit_cards': True, 'amex': True, 'visa': False}}, 'food_and_drink': {'alcohol': {'cocktails': False, 'full_bar': False}, 'meals': {'breakfast': True, 'brunch': True, 'lunch': True, 'happy_hour': False}}, 'services': {'delivery': False, 'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'live_music': False, 'outdoor_seating': False}, 'attributes': {'business_meeting': 'Poor', 'good_for_dogs': 'Great', 'groups_popular': 'Average', 'quick_bite': 'Great', 'value_for_money': 'Average'}}"
32,Europan Bakery Cafe,40.783082,-73.980909,Open Daily 12:00 AM-11:59 PM,"{'services': {'delivery': True, 'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'outdoor_seating': False, 'wifi': 't'}, 'attributes': {'business_meeting': 'Great', 'dressy': 'Average', 'families_popular': 'Average', 'quick_bite': 'Great', 'service_quality': 'Average', 'value_for_money': 'Great'}}"
35,Cafe Hugo,40.726263,-74.008768,Open Daily 12:00 AM-11:59 PM,{}
36,Time Café,40.715713,-73.994077,Mon 12:00 AM-2:00 AM; Tue 6:00 PM-12:00 AM; Wed-Sun 12:00 AM-2:00 AM,"{'food_and_drink': {'meals': {'bar_snacks': False, 'breakfast': True, 'tasting_menu': False}}}"
37,Mott Corner,40.72084,-73.995938,Open Daily 12:00 AM-11:59 PM,"{'services': {'delivery': True, 'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}}"
42,Prestige Cafe And Deli,40.842826,-73.941715,Open Daily 12:00 AM-11:59 PM,{'services': {'delivery': True}}
